Age,Gender,Gender_3_TEXT,HL,Race,Race_5_TEXT,Education,Income,IPrelationship,IPrelationship_4_TEXT,IPInitials,ECRRS_1,ECRRS_2,ECRRS_3,ECRRS_4,ECRRS_5,ECRRS_6,ECRRS_7,ECRRS_8,ECRRS_9,BaselineMood_P,BaselineMood_N,StressorDescription,DescriptionTiming_FirstClick,DescriptionTiming_LastClick,DescriptionTiming_PageSubmit,DescriptionTiming_ClickCount,TimeofStressor,PostStressorMood_P,PostStressorMood_N,PRChoice_Prob,PRChoice_PerEff,RSChoice_Prob,RSChoice_PerEff,PDChoice_Prob,PDChoice_PerEff,PreChoiceMood_P,PreChoiceMood_N,ERChoice,PRTask,PRTaskTiming_FirstClick,PRTaskTiming_LastClick,PRTaskTiming_PageSubmit,PRTaskTiming_ClickCount,RSTask,RSTaskTiming_FirstClick,RSTaskTiming_LastClick,RSTaskTiming_PageSubmit,RSTaskTiming_ClickCount,PDTask,PDTaskTiming_FirstClick,PDTaskTiming_LastClick,PDTaskTiming_PageSubmit,PDTaskTiming_ClickCount,PostTaskMood_P,PostTaskMood_N,PROLIFIC_PID,ECR1R,ECR2R,ECR3R,ECR4R,Avoidance,Anxiety,ZAvoidance,ZAnxiety,filter_$
25,2, ,2,1, ,3,5,1, ,RM,7,7,7,7,2,1,2,2,2,7,2,"We had just got back to his house after visiting some people and there were a bunch of his friends over. I wasn't in the mood to continue being social, but he wanted to still hang out with them. I ended up staying and hanging out even though I didn't really want to.",.767,114.403,116.447,2,1,7,2,3,2,6,4,4,2,7,2,2, , , , , ,He makes me feel happy and valued. We have so much fun and laugh a lot when we're together.,6.466,56.093,63.076,4, , , , , ,8,2,610c0fed4194a2ab58f9a64b,1,1,1,1,1.16666666666667,2,-.884604362489753,-.385548508625136,1
24,2, ,1,1, ,1,5,3, ,EK,7,7,6,7,1,1,3,7,7,8,5,"We fought because I have a hard time trusting that they want to spend time with me, so I tend not to reach out as much as I should. This causes them to think that I don't care about them.",.787,4.502,181.878,3,1,4,7,9,3,9,2,9,0,5,6,2, , , , , ,"They have always expressed to me that they enjoy hanging out with me, and regularly make an effort to do so. They spend a lot of their free time with me.",10.446,11.886,98.016,2, , , , , ,8,3,5a5f64dfe0cf3d000126c166,1,1,2,1,1.16666666666667,5.66666666666667,-.884604362489753,1.88887676604654,1
27,2, ,2,1, ,2,1,1, ,LG,7,7,7,7,1,1,1,1,1,8,2,"We got into a fight about communication. I come from a background and abusive relationship and communication was not heard of, so coming into a relationship that is all about communication has been hard for me. He just wants to talk things out and I tend to shell up and hide my feelings until I implode with sadness and anger. It happened because we both have some growing up and learning to do. The argument made me sad and upset.",8.529,121.293,159.503,6,1,4,7,8,8,10,8,8,8,8,1,2, , , , , ,"I have already started to feel about about the situation and much less negative. My husband LG has always been there for me and has watched me struggle and picked me up when I was down. As much as we may but heads, our love concurs all and we will always overcome these situations.",7.773,76.55,77.421,6, , , , , ,9,0,610dd0f870a5bf4965e59351,1,1,1,1,1,1,-1.0412653214926,-1.00584631080832,1
20,2, ,2,"1,3", ,2,9,2, ,TB,5,5,5,5,1,5,1,1,1,7,1,"TB and I don't really fight often, but she does not follow the rules I have in place at my apartment. She puts her stuff all over and looks out the window at my neighbors when they are being loud. She is just a nosy and disorganized person. It makes me a little bit anxious, but she always corrects it when I voice it.",1.012,38.95,95.366,6,1,7,1,4,4,9,9,1,1,7,1,2, , , , , ,"I am so incredibly lucky to still have this person in my life, some people my age have lost their mothers and mine is still around to annoy me.",8.608,8.608,94.736,1, , , , , ,8,0,607d5f59b7145beb3d426d7c,3,3,3,3,3,1,.838666186541551,-1.00584631080832,1
34,2, ,2,1, ,2,2,2, ,SL,3,3,5,3,5,3,6,6,6,5,7,"I guess the closest thing to a conflict we had was on Christmas. Christmas was awful, though it was mostly because of another family member, not SL. But I felt like SL wasn't really on my side. As I often feel with my family, it felt like he thought I was just being difficult and I needed to get over myself. On top of that, I felt he was distant and didn't really appreciate my gift, which was hurtful because money is really tight for me and it was a challenge to buy gifts.",2.243,82.991,172.577,8,3,2,8,0,0,0,0,10,8,4,7,3, , , , , , , , , , ,"I'm saving up to buy new bookshelves for my living room. The bookshelves I have are falling apart, and I never liked them much to begin with. Reading is a very important part of my life, so I like my books to be displayed nicely. I'm looking forward to getting my new shelves and arranging my books on them.",8.522,9.586,69.02,2,7,4,5ddc3d39fce606ba6f9e1fa4,5,5,3,5,4.33333333333333,6,2.09195385856432,2.0956427001076,0
30,2, ,2,1, ,3,9,1, ,RH,6,7,6,6,1,2,2,2,1,8,2,We have been trying to move to a different state the past few months and it has been stressful all around. I think one of our last disagreements was about something silly surrounding the house like how important it was to have the grass mowed for the appraisal. I wanted help with the children and RH wanted to spend his limited free time away from work working on the yard instead of helping me with the kids. We quarreled a bit and eventually he came in and helped so I could get some work done away from the kids. I was irritating for both of us but we both got over it by dinner. We were both just trying to do something to help in different ways.,1.315,125.118,186.645,5,2,8,2,8,7,7,8,5,6,8,1,2, , , , , ,"My partner always works hard to meet the responsibilities in our life, he does this for the good and the goals of our family.",11.352,11.352,92.522,1, , , , , ,8,1,6172316cd8b547db367c4e8e,2,1,2,2,1.66666666666667,1.66666666666667,-.414621485481216,-.592314442686197,1
22,2, ,2,1, ,1,9,1, ,KE,6,7,6,5,3,3,5,5,5,8,3,We get issues with trust sometimes and we had just got into a healthy routine but then he got a job in another state so we are a 6 hour drive away from each other. The trust issues kinda came back in a new way and now we are finding a way to get through this new routine and the distance.,5.276,45.962,320.499,4,3,7,3,5,5,8,8,10,9,7,4,3, , , , , , , , , , ,I just got a new kitten. I had been extra lonely without the company of my boyfriend and this stray kitten came along and made everything lovely and fun and cuddly and has distracted me from multiple hard feelings I could have spiraled myself into. He is such a smart kitty and he is my friend and he stays.,5.681,75.379,105.698,4,10,1,60fdeb0e61f7fc4fb2815c14,2,1,2,3,2.33333333333333,5,.212022350530168,1.47534489792441,0
22,2, ,1,2, ,1,9,3, ,AL,7,6,6,6,1,2,5,5,3,2,5,"It wasn’t anything huge. I just said something to her to make her understand how she needs to calm down sometimes and take care of herself. She didn’t get what I meant, it was a misunderstanding",213.898,251.587,279.423,3,2,4,7,2,2,9,6,3,2,4,5,2, , , , , ,"I know they will never leave me, since we both have abandonment issues. And she’s like my sister; we can argue but always make up. And she’s always had good intentions",7.411,7.411,61.22,1, , , , , ,2,3,61036b50ca5be39e19acdc3d,1,2,2,2,1.66666666666667,4.33333333333333,-.414621485481216,1.06181302980229,1
28,1, ,2,1, ,3,4,3, ,SS,6,6,6,5,1,1,2,3,3,5,6,He did not come to my house and canceled plans we made long ago. This hurt my feelings. My wife was also disappointed in his decision not to come.,1.392,1.392,65.125,1,3,5,7,2,2,8,7,5,6,5,7,2, , , , , ,"My friend is always willing to talk and listen to me. He is often available and though we do not agree on 100 percent of everything, he tries to understand me. He cares what I think.",6.392,9.799,64.635,3, , , , , ,6,6,616b512feecd8acc64140d9c,2,2,2,3,1.83333333333333,2.66666666666667,-.25796052647837,.0279833594969865,1
28,1, ,2,1, ,1,2,1, ,CM,6,7,7,7,2,1,1,5,1,7,3,"It was an argument with my girlfriend about money and me wanting to buy a coffee. She argued that we could not afford it but I believe that she just didn't want me to leave the house without her. Very dumb reason to argue but that happens in relationships. I feel fine about it now, as does she.",14.7,69.706,161.511,4,1,7,3,5,3,7,2,6,2,7,3,3, , , , , , , , , , ,"This is something that I actually do. I will think of something in the near future that I'm excited about, whether it is a social gathering, sports game, or video games.",13.694,13.694,82.51,1,8,2,5fc2a17a6a0a5516d4d54125,2,1,1,1,1.33333333333333,2.33333333333333,-.727943403486907,-.178782574564074,0
22,2, ,2,1, ,2,1,1, ,GC,3,7,7,7,1,1,2,2,2,8,4,"Simple miscommunication on his end. There wasn't a communication on a certain topic that left the other in the dark. In retrospect, I feel okay about it since it was resolved.",2.837,173.449,174.552,7,3,7,3,6,7,8,7,9,8,8,3,2, , , , , ,"I think of how humble the person is. Whenever they are in the wrong they are quick to take the blame and apologize. with that apology comes honest and true change that wasn't fabricated to just make me feel better. Because of this, I know everything will be okay.",1.315,62.099,70.481,6, , , , , ,9,2,613ceeaac0edbad95c47358f,5,1,1,1,1.66666666666667,2,-.414621485481216,-.385548508625136,1
21,2, ,2,1, ,2,9,1, ,MS,6,7,7,6,1,1,3,3,5,7,2,"On my birthday, we went to participate in a tradition at my university where you are thrown into one of the campus fountains at midnight on your 21st birthday. We went to the fountain, and came home to a house full of one of my roommate's friends who were there to celebrate her graduation that same weekend. MS went into the room of all the friends (who I do not know well) and to me, it seemed he abandoned me and I was hurt because it was my birthday and everyone was supposed to be celebrating together. Turns out he was trying to get everyone to wish me a happy birthday collectively, but no one was listening and his plan fell through. I was not made aware of the plan until later when I brought up to him that I was upset and he explained what happened.",8.85,8.85,136.558,1,4,8,2,8,6,7,5,2,4,8,2,1,"It turns out MS was not acting in the nature that I assumed, which definitely makes me feel better in that he was not trying to deliberately upset me.",7.668,7.668,75.474,1, , , , , , , , , , ,8,2,610f51db5b5a6673160e24aa,2,1,1,2,1.33333333333333,3.66666666666667,-.727943403486907,.64828116168017,0
23,2, ,1,1, ,1,9,1, ,JD,7,5,6,4,2,4,7,7,7,5,0,The conflict was about him coming home stressed from work and not really wanting to deal with me or talk to me much. I was informing him about a situation that just happened that a friend off discord somehow found me on tiktok. And he was telling me to chill out and calm down kinda looking down on me for no reason. So I immediately got an attitude from his tone. And told him to go do what he needs to do,1.096,24.232,77.772,5,2,5,0,5,5,7,6,5,5,5,0,2, , , , , ,"We’ve grown together as people and partners for the last three years. He treats me well even if he does have those moments when he’s in a mood, I know to give him space. He’s always kind, loving, & affectionate towards me. He takes care of me when I need it like being sick etc",6.159,9.037,63.774,2, , , , , ,5,0,5f4be3c1f50c0e7c3596ab36,1,3,2,4,2.66666666666667,7,.52534426853586,2.71594050229078,1
23,2, ,2,1, ,1,4,2, ,VS,7,7,7,7,7,1,1,1,1,9,0,"I live with VS and they had a friend staying over for what was supposed to be a week or two. This ended up being almost a month and it became pretty stressful for the whole household because the guest was kind of a nuisance. Well, VS has known this guest for years and I felt like sometimes she was telling her things about me, in a negative way, or talking about me behind my back to her. I just felt a little betrayed during that time because it reminded me of some situations I had been in with VS before.",1.385,62.634,126.136,5,1,6,2,3,3,10,10,8,8,8,1,2, , , , , ,"I started thinking about how we worked through the issue and how we talked it out. This made me feel more positive again and I truly do feel like she cares about me and didn't intend for me to feel bad, or betrayed.",1.309,1.309,79.777,1, , , , , ,8,0,611891ebef307851334d9dc7,1,1,1,1,2,1,-.101299567475524,-1.00584631080832,1
28,2, ,2,1, ,3,9,1, ,NB,7,7,7,6,2,2,2,2,3,9,1,He got up in the middle of a story I was telling to go check a noise in the basement. He was not listening to me or the story I was telling. This hurt my feelings as I thought my feelings where being dismissed.,4.971,4.971,127.713,1,1,7,3,6,6,8,8,8,7,9,9,1,These silly arguments allow us to grow as a couple. I learn how to communicate and he learns how to listen. We then have to discuss how to resolve this issue allowing us to come together at the end.,6.375,163.137,164.409,20, , , , , , , , , , ,9,9,60ff73944b8a448452e215ec,1,1,1,2,1.5,2.33333333333333,-.571282444484062,-.178782574564074,0
20,2, ,2,3, ,1,9,1, ,DS,7,7,7,7,1,1,1,4,2,10,0,We had been away for a week and when we are apart I tend to get frustrated easily due to the fact that I miss him. Any small problem I did not fully disclose comes out. This has happened for the past 2 years and we have definitely improved in the way we deal with our behaviors and understand each other.,.739,70.847,74.433,7,1,9,0,8,7,3,3,2,3,8,1,2, , , , , ,I always feel loved and appreciated by him and I never have to worry that I am gonna steer him away from me and our relationship. We always come out of these conflicts much stronger and more understanding of each other.,.801,57.666,61.322,9, , , , , ,10,1,61118e6a49570a8f159fda5e,1,1,1,1,1,2.33333333333333,-1.0412653214926,-.178782574564074,1
34,2, ,2,1, ,1,9,1, ,L,7,7,7,7,1,2,1,2,1,8,2,"As we have different personalities and how we handle conflict, we got angry with eachother after a situation with our children. He handled poorly in my opinion and it caused tension in our house. We also handle conflicts differently after they occur so we still have to work on how best to approach them between the two of us.",2.164,6.34,98.833,2,1,8,2,0,0,6,5,0,0,8,1,2, , , , , ,I could try to put myself in his shoes & how much he does for our family - caring about our house & how our children will turn out. A strong male role model is a great thing for our children. He's always willing to hear me out.,1.96,28.779,88.685,2, , , , , ,8,1,5dba0a89ffee14070ae13f74,1,1,1,1,1.16666666666667,1.33333333333333,-.884604362489753,-.799080376747258,1
40,1, ,2,1, ,2,6,1, ,HG,6,6,6,6,2,2,2,2,2,6,5,My spouse and I have argued and conflicted about our personal life. We have different ideas about where we live and how we live. We struggle with money and will need to move eventually to maintain our lifestyle. It's an ongoing struggle and disagreement.,.802,109.928,141.024,3,1,4,5,7,6,7,7,6,6,6,5,2, , , , , ,I feel better about the relationship knowing that we have a history going back almost 20 years and knowing that we have been through worse.,.902,34.369,79.964,2, , , , , ,6,5,5e9df26707933e1720927fee,2,2,2,2,2,2,-.101299567475524,-.385548508625136,1
23,2, ,2,1, ,2,1,2, ,CF,7,6,6,6,2,3,1,1,1,8,5,I opened up to her about my feelings on the next phase of my life. She seemed disappointed in me when I was telling her how I honestly felt. I think it happened because we have core differences about this particular mindset. I feel guilty due to her reaction.,1.174,3.467,103.04,2,1,8,5,2,2,3,9,7,8,8,4,2, , , , , ,The time she traveled very far to surprise me on an important day. I know she truly cares about me and I can rely on her for anything.,1.269,59.826,61.498,6, , , , , ,9,4,5fb13d4a279aed59bc2a2510,1,2,2,2,2,1,-.101299567475524,-1.00584631080832,1
32,2, ,2,1, ,2,8,1, ,W,7,7,7,7,1,1,1,2,2,8,1,"It was my fault. They came to me and told me how they have been feeling and I reacted porosity. I wasn’t supportive and came off like a twat. I felt awful and pushed to discuss how I made them feel. We talked about how I acted, i apologized, admitted fault and asked how i could help.",2.107,104.971,107.578,7,2,8,1,8,3,2,2,6,6,8,1,1,It helped me realize I need to be more mindful of my on the spot reactions. 
It helped us both understand their capacity was full and talk about ways to help their burden.,3.569,60.696,81.871,3, , , , , , , , , , ,8,1,5fff65428bb64d099fdc09d1,1,1,1,1,1,1.66666666666667,-1.0412653214926,-.592314442686197,0
31,1, ,1,1, ,1,1,2, ,SAE,7,7,7,7,2,4,1,2,4,5,2,I don't associate with this family member that much. We used to talk all the time. I honestly don't know what happened that we started to not communicate. I know that if I was ever in need of anything I can depend on them for it but now I feel maybe that might not be the case. That saddens me.,6.113,107.053,125.401,9,5,2,2,1,1,10,10,10,10,4,2,3, , , , , , , , , , ,I got a raise at work recently and that really excites me and made me happy. Especially since this month has been a rough one financially for me. I'm hopeful for the future and excited to see what great things are yet to come,3.24,48.107,62.22,5,6,1,5d2681e04b1567001917d4fe,1,1,1,1,1.66666666666667,2.33333333333333,-.414621485481216,-.178782574564074,0
26,1, ,2,1, ,3,9,3, ,AB,6,5,6,5,3,5,2,1,3,6,2,"Normally my relationship with this individual rarely involves conflict. If anything, the conflict generally would be around my tendency to stake out an opinion, view, or feeling on any particular event or topic, whereas this individual typically maintains a more neutral position of not commenting or making an opinion if the particular event or topic does not impact themself. Still this happens very rarely, but the most recent time that comes to mind was regarding a topic on gender roles where I had a different view than this individual. We did not necessarily have opposing views, however our primary focus were on different parts of the topic.",2.485,8.386,213.707,13,3,5,2,4,1,8,2,8,5,6,2,2, , , , , ,"This person is one of the people I spend the most time with outside of work or alone time. We often go out to dinners weekly, generally on Friday or Saturday and it is a good opportunity to decompress from the stress of the work week.",1.18,10.929,85.698,24, , , , , ,7,1,614f8803db29a41caa33ead6,2,3,2,3,3,2,.838666186541551,-.385548508625136,1
42,1, ,2,1, ,4,9,1, ,NM,7,7,7,7,1,2,1,1,1,9,1,"We had some financial stress based on things going wrong in our home.  We had to look into a new way to budget to pay off unexpected expenses.  I think we worked it out pretty well.

Otherwise I struggle to think of any other conflicts or issues, our relationship is pretty great.",6.873,92.94,169.045,11,4,7,3,8,8,8,8,8,8,8,2,1,I learned how to better communicate a plan and work together toward a solution to solve the issues at hand.,8.179,8.179,82.822,1, , , , , , , , , , ,8,2,5f11e883afd70a0d94572e6a,1,1,1,1,1.16666666666667,1,-.884604362489753,-1.00584631080832,0
23,2, ,2,1, ,2,9,2, ,MKU,7,7,7,7,1,1,1,1,1,3,7,MKU and my sister got in a fight. I was stuck in the middle and tried to stay out of it. But then MKU got upset that I was not taking her side over my sister's side. The conflict was not at all about me and it made me uncomfortable to be in the middle of their conflict.,2.761,58.601,61.769,3,6,3,7,1,1,4,4,8,8,3,7,2, , , , , ,"Even though we had this conflict, MKU and I have had a good, positive, close relationship for 24 years. They are my rock and my best friend. Whenever anything good or bad happens in my life, I turn to MKU and tell them about it. Without MKU my life would be extremely different.",5.198,6.148,74.46,2, , , , , ,3,7,606e49629d86f881366da9a2,1,1,1,1,1,1,-1.0412653214926,-1.00584631080832,1
41,1, ,2,1, ,1,3,2, ,BD,6,6,6,7,2,2,1,3,2,8,0,I need a ride to a doctor appointment recently. BD told me she would give me a ride when I first asked. When the day of my appointment came she was a no show. I called but didn't get an answer. When I finally did get in touch she said I never asked her in the first place. I know I did though. It made me feel angry that she wouldn't admit it.,10.467,206.06,244.96,9,1,8,0,3,1,2,3,2,2,8,0,3, , , , , , , , , , ,I take my dog to go swimming at the creek with some friends. We always have a good time when we do this. In the summer we go almost every weekend.,15.347,141.269,142.541,8,8,0,5de7fc0a75ce6e80152f80cf,2,2,2,1,1.83333333333333,2,-.25796052647837,-.385548508625136,0
22,2, ,2,3, ,2,2,1, ,AL,6,7,6,6,1,1,1,2,1,5,4,"I was ranting to him about my insecurities and the people and issues that contributed to them. Instead of just being comforting, he said that I care about others too much and added that he couldn't relate to how I was feeling. We were talking over text, and over text it is very hard for me to read his tone so I interpreted his words as very cold and unsympathetic. Both of us struggle to convey our tones and feelings properly over text, and it often leads to me feeling irritated and upset. I got irritated but continued to text him because I wanted him to understand just how awful I felt.",1.952,161.119,170.936,3,2,4,4,8,4,8,6,7,4,5,4,2, , , , , ,"He has always been openly and wholeheartedly supportive of me. No matter how much I complain, or how unreasonable I am being, he is always very patient. If I need something, he will buy it for me. If I need something fixed, he will do it for me. If I need to see a doctor, he will immediately take me there. He is not the best at expressing himself through words, but he does show a lot through his actions. He has never judged me at all, and I never felt uncomfortable being myself around him.",1.184,11.716,122.069,3, , , , , ,6,3,5fff70a0ecbb600c11b588b8,2,1,2,2,1.5,1.33333333333333,-.571282444484062,-.799080376747258,1
48,1, ,2,1, ,1,4,3, ,DS,6,6,6,4,2,2,2,2,2,8,2,We had a disagreement about getting a loan to put in a storm shelter on the homestead we share.  I thought it was a bad idea as we have other projects lined up.  She wants to get everything done in a rush without thinking of possible speed bumps along the way.  I felt frustrated at first but in the end we talked it through and agreed to hold off.,2.191,7.051,87.663,2,1,7,2,8,9,8,8,6,6,8,1,2, , , , , ,"We always seem to hash out our differences and make things work for the greater good.  Even in our heated moments, we know we can achieve this.  We've always been here for each other as friends and partners.  We have a lot of history working together and now living together.  It is not worth throwing away a friendship for such trivial things.",1.624,14.306,82.503,3, , , , , ,9,1,5c4ea6cc889752000156dd8e,2,2,2,4,2.33333333333333,2,.212022350530168,-.385548508625136,1
19,2, ,2,1, ,1,8,1, ,sf,7,7,7,6,1,3,5,3,6,6,2,"He got angry at me because I followed an ex on social media and did not know he was uncomfortable with it. we did not really talk for a day or two, and my efforts to reach out were not appreciated. I was mad because he was not communicating, and I felt stressed because I was not hearing from him and if I had heard he was uncomfortable with it, I would have removed them.",1.361,170.488,187.434,2,1,5,4,6,7,9,10,10,9,7,2,2, , , , , ,"Whenever we are together we are never bored, I rarely feel judged and am comfortable with him, and I know he loves me a lot.",3.013,3.013,71.286,1, , , , , ,9,1,605c9f39ad0faf8b24f93d5f,1,1,1,2,1.5,4.66666666666667,-.571282444484062,1.26857896386335,1
29,2, ,2,1, ,1,3,1, ,TJL,7,6,7,7,2,5,1,5,3,8,1,"TJL is my partner of almost two years. We recently had a conflict about moving in together where I am the person who wants to live with him, but he isn't ready to move out of the apartment he shares with his roommate because he feels his roommate will feel abandoned. It was upsetting to me to hear because he was the one who brought it up in the first place and made me start seriously thinking about it and when I told him I was ready he shut down and went back on what he said. I think that he is nervous about living with a romantic partner because of something that happened in his past relationship. It makes me feel sad because this is a person that I really want to take serious steps in life with and it doesn't always seem like I am that person for him.",1.198,79.117,199.755,5,3,3,6,9,8,9,7,5,2,7,3,1,"Even though this was a frustrating conflict to have with my partner, I am grateful that he can be honest with me and let me know what his boundaries are. I did feel mislead in the beginning, but I do think that us not moving in together until he is ready is for the best. I would not feel good if he felt resentful towards me for pressuring him into a situation he is not ready for. I admire his honesty and I am here to support him and let him know that it is safe to change your mind.",2.088,115.789,157.575,4, , , , , , , , , , ,9,1,610421f83632fa3f44993439,1,2,1,1,2,3,-.101299567475524,.234749293558048,0
27,2, ,2,5,north african,2,9,1, ,OG,6,7,6,5,3,1,1,3,1,7,1,"I was with some friends and wasn't on my phone. He was upset that I wasn't answering his text messages, even though he never responds when he is with friends. Because of covid, I haven't been able to see all of my friends so this was the first time we had all gotten together.",5.146,6.43,62.042,2,3,6,3,4,2,9,9,9,6,8,2,2, , , , , ,This person would (and has) done a lot for me. He is willing to sacrifice things for himself in order to make me happy. He has supported me for years in so many different ways and has been there for me when I needed someone the most.,3.79,3.79,305.318,1, , , , , ,8,1,60ffa8b8baf716d020c22954,2,1,2,3,2,1.66666666666667,-.101299567475524,-.592314442686197,1
30,2, ,2,1, ,2,3,1, ,Rj,6,6,6,6,1,2,1,5,5,7,1,Rj came home drunk the other night. I am trying to regain my own sobriety so this impacted me greatly. He said he had a long day at work and chugged a few drinks. As he stumbled through the apartment I became mad and I called him out on it which started a fight.,2.345,30.176,81.015,2,1,6,1,5,6,7,5,8,7,7,1,2, , , , , ,We have known each other for over 10 years. We had good times as teens and we both want that to continue. We’ve had good times outdoors and going to concerts. We understand each other.,11.602,12.287,66.29,2, , , , , ,7,1,6100f16359e7a101ec98c6fa,2,2,2,2,1.83333333333333,3.66666666666667,-.25796052647837,.64828116168017,1
39,2, ,2,1, ,4,5,1, ,CB,6,5,5,6,3,5,3,7,7,1,7,"I was talking with CB, but he said he didn't want to talk anymore.",1.9,50.238,94.088,4,1,1,7,0,0,5,2,2,1,1,7,1,The conflict made me understand more about myself and about my partner.,9.918,10.942,72.175,2, , , , , , , , , , ,1,7,5dd49ca7149f5348405ff49e,2,3,3,2,3,5.66666666666667,.838666186541551,1.88887676604654,0
37,2, ,2,1, ,3,9,1, ,RK,7,7,7,7,1,1,1,1,1,10,0,"My daughter was scheduled to go to her future middle school for shadowing. I needed to be up early to get there on time to check her in. Not only did RK not wake me up early enough to get a shower, but he also didn't read the information on the flier that was sent home regarding lunch money. I was not at all happy about the course of the morning and all of it could have been avoided if I had set my own alarm, gotten up earlier and dictated to him what all needed to be done.",.877,43.61,150.127,3,1,10,0,3,1,9,8,6,4,10,0,2, , , , , ,I have always felt protected. I have never felt like I would be left on the street. I never felt like I wouldn't have a stable home.,54.442,54.442,113.582,1, , , , , ,10,0,5d54293959f4b10001686583,1,1,1,1,1,1,-1.0412653214926,-1.00584631080832,1
22,2, ,2,1, ,1,5,3, ,RR,7,6,6,7,1,1,1,1,1,6,2,"It wasnt a big conflict as we're incredibly close, however there was a recent time where we kept snapping at each other. We were both under heavy stress and weren't listening to each other the way we normally do. Because the things causing our stress were so different, we couldn't relate in that scenario. We talked it out and decided that, although it's a little painful, it's best that we take some time away from each other to sort our problems out, but expressed that if we needed each other at all to just say the words.",140.828,145.205,282.748,3,2,5,4,2,1,5,10,0,0,7,2,2, , , , , ,"We always express our (platonic) love for each other and know that no matter what happens, we'll always be there for each other. Through any darkness, our friendship is the light that guides us through it all. We know we will never be alone, because we have each other for life.",2.411,3.753,61.921,2, , , , , ,8,0,5d140b5c1039690017945b7b,1,2,2,1,1.33333333333333,1,-.727943403486907,-1.00584631080832,1
23,2, ,2,2, ,1,1,3, ,RT,7,6,6,7,1,4,5,5,3,7,2,There was this argument where a couple of people where assuming I was openly attacking them or being rude towards them. This all happened when I just woke up after a nap and I was asked to join a voice chat with all them in it. I was not feeling well and I didn't really feel like talking either. The issue was that my text in the group chat seemed aggressive to everyone and they wanted to talk to me about it. I told them I type normally and my friend also didn't see what the problem was with how I typed. It seem they just wanted a reason to kick me out the group chat.,1.664,293.144,312.095,4,5,2,6,2,1,8,5,5,3,4,5,3, , , , , , , , , , ,"Well my birthday was this month and I actually got to unwrap presents which made me very happy and I am glad I got to do it. It was a bit corny cause of the music my mom played while I was doing so, but I had a great time for once in my life on my birthday.",11.363,11.363,156.964,1,9,2,5fbdeede16525a27b72901df,1,2,2,1,1.83333333333333,4.33333333333333,-.25796052647837,1.06181302980229,0
39,1, ,2,2, ,1,5,2, ,LR,3,1,1,3,5,6,5,1,5,6,2,We got in an argument because he worries too much and it stresses me out,8.871,56.898,94.729,4,4,6,2,6,6,7,7,8,7,7,2,2, , , , , ,I think about how we use to ride on the boardwalk and go to the arcade,13.572,42.661,117.436,3, , , , , ,7,2,5c2844f42c45d40001493efd,5,7,7,5,5.83333333333333,3.66666666666667,3.50190248958993,.64828116168017,1
24,2, ,2,1, ,2,9,3, ,LL,7,6,7,7,1,1,3,5,2,7,4,"We had a bit of a falling out because I was keeping secrets about who I was dating at the time. I knew that LL had feelings for me in the past, so I thought I was protecting them by not telling them I was in a new relationship. For them however, it was pretty obvious that I was hiding something and when they found out, they were hurt that I felt like I couldn't include them in this part of my life. In the end I felt really guilty for having kept such a big secret from someone I consider to be one of my closest friends.",3.169,3.169,172.25,1,6,6,5,6,4,10,7,7,3,7,2,2, , , , , ,"We've overcome a lot of hardships over the course of our friendship, and the fact that we care so much about each other has always helped us to grow and work through things. Every time we spend time together, we tend to have a lot of fun and enjoy each other's company. I think that we've become pretty mature about conflict and will always talk things out, so I don't feel so scared about losing them.",8.747,8.747,103.101,1, , , , , ,7,2,61115d821fe239854dfcdf13,1,2,1,1,1.16666666666667,3.33333333333333,-.884604362489753,.441515227619109,1
26,2, ,2,1, ,3,3,1, ,CR,5,5,5,2,6,6,3,3,3,3,7,"A few days ago I was getting ready to leave with my partner for couples counseling. I asked if she was almost ready to go and she said that she had forgotten and wasn't in the mood to go. I became upset because I had been thinking about our counseling session all day and anticipating it. I found it difficult to adjust my plans, and worried about how rude it would be to cancel 30 minutes before the session. This upset my partner, who felt like I was not caring about her emotions and preferences. I offered to cancel because she and I were both becoming anxious, but she said I would be upset if we cancelled so we should just go. This created intense anxiety and sadness in both of us for the rest of the night.",4.229,106.913,162.039,4,1,2,8,2,1,3,2,4,3,2,6,3, , , , , , , , , , ,"I'm excited to travel in a couple weeks! I will be seeing a new city and have a couple days where I won't be working. I'll get to spend time with friends, eat good food, and explore somewhere beautiful. A lot of the trip will be paid for, so I won't have to worry about funds very much. It should be nice weather as well!",12.932,37.107,76.151,4,4,5,610ad8111e76c155f89fa26d,3,3,3,6,4.5,3,2.24861481756716,.234749293558048,0
